"","Offense","Male","Female","category"
"1","Embezzlement",3391,3071,"Male"
"2","Robbery",86466,49124,"Male"
"3","Extortion/Blackmail",9020,3354,"Male"
"4","Motor Vehicle Theft",320919,197047,"Male"
"5","Counterfeiting/Forgery",28217,26558,"Male"
"6","Counterfeiting/Forgery",28217,26558,"Male"
"7","Motor Vehicle Theft",320919,197047,"Male"
"8","Motor Vehicle Theft",320919,197047,"Male"
"9","Counterfeiting/Forgery",28217,26558,"Male"
"10","Counterfeiting/Forgery",28217,26558,"Male"
"11","Kidnapping/Abduction",8557,28212,"Female"
"12","Kidnapping/Abduction",8557,28212,"Female"
"13","Human Trafficking Offenses",335,1659,"Female"
"14","Destruction/Damage/Vandalism",508037,549220,"Female"
"15","Human Trafficking Offenses",335,1659,"Female"
"16","Destruction/Damage/Vandalism",508037,549220,"Female"
