"","Offense","0-10","10-15","15-20","20-25","25-30","30-35","35-40","40-45","45-50","50-55","55-60","60-65","Over65","Unknown","Crime_Type"
"1","Total",131339,226288,549818,925055,1010364,962124,854932,714160,618293,559565,520271,402993,677211,115432,"Grave"
"2","Assault Offenses",81158,143951,256062,351830,374771,347661,292157,224222,175238,144000,120080,77000,85686,32956,"Grave"
"3","Homicide Offenses",562,338,2165,2443,2417,2042,1578,1155,944,777,634,484,774,224,"NotGrave"
"4","Human Trafficking Offenses",94,513,637,227,145,144,81,34,30,14,20,3,6,193,"NotGrave"
"5","Kidnapping/Abduction",3930,2266,4128,5306,5430,4765,3588,2566,1689,1079,778,465,610,319,"NotGrave"
"6","Sex Offenses",32079,51434,32948,15230,11117,9083,7118,5016,3573,2588,1932,1131,1917,1877,"NotGrave"
"7","Arson",464,276,682,1399,1822,2171,2192,2016,1897,1715,1771,1345,2336,1302,"NotGrave"
"8","Bribery",3,13,68,83,90,87,49,48,25,18,14,15,17,41,"NotGrave"
"9","Burglary/Breaking & Entering",2299,2731,19470,48303,56547,57358,53607,46521,42398,41461,41581,35348,67410,7005,"NotGrave"
"10","Counterfeiting/Forgery",98,89,1451,2613,3629,4192,4424,4338,4358,4720,5239,5031,13779,2207,"NotGrave"
"11","Destruction/Damage/Vandalism",2390,3255,52537,115237,128312,124755,114773,99933,88356,81557,77720,62329,99641,14281,"NotGrave"
"12","Embezzlement",10,15,125,349,457,590,680,600,611,619,581,494,1263,143,"NotGrave"
"13","Extortion/Blackmail",22,670,3236,2096,1340,1003,866,670,591,490,445,317,590,77,"NotGrave"
"14","Fraud Offenses",1186,1436,25093,49026,57405,60889,62083,62237,62438,62157,62425,54957,124105,11195,"NotGrave"
"15","Larceny/Theft Offenses",4923,15171,114153,249039,272370,257696,231340,195676,175193,163137,154999,125770,222164,26217,"Grave"
"16","Motor Vehicle Theft",353,268,17466,53544,67142,65102,59188,51785,46016,41715,38733,29139,44013,6195,"NotGrave"
"17","Robbery",812,3580,16183,20963,18514,16214,13432,10666,8668,7911,7234,5098,5705,1038,"NotGrave"
"18","Stolen Property Offenses",956,282,3414,7367,8856,8372,7776,6677,6268,5607,6085,4067,7195,10162,"NotGrave"
