Offense,Age Group,Age_count
Assault Offenses,Under10,"81,158"
Homicide Offenses,Under10,562
Human Trafficking Offenses,Under10,94
Kidnapping/Abduction,Under10,"3,930"
Sex Offenses,Under10,"32,079"
Arson,Under10,464
Bribery,Under10,3
Burglary/Breaking & Entering,Under10,"2,299"
Counterfeiting/Forgery,Under10,98
Destruction/Damage/Vandalism ,Under10,"2,390"
Embezzlement,Under10,10
Extortion/Blackmail,Under10,22
Fraud Offenses,Under10,"1,186"
Larceny/Theft Offenses,Under10,"4,923"
Motor Vehicle Theft,Under10,353
Robbery,Under10,812
Stolen Property Offenses,Under10,956
Assault Offenses,Under15,"143,951"
Homicide Offenses,Under15,338
Human Trafficking Offenses,Under15,513
Kidnapping/Abduction,Under15,"2,266"
Sex Offenses,Under15,"51,434"
Arson,Under15,276
Bribery,Under15,13
Burglary/Breaking & Entering,Under15,"2,731"
Counterfeiting/Forgery,Under15,89
Destruction/Damage/Vandalism ,Under15,"3,255"
Embezzlement,Under15,15
Extortion/Blackmail,Under15,670
Fraud Offenses,Under15,"1,436"
Larceny/Theft Offenses,Under15,"15,171"
Motor Vehicle Theft,Under15,268
Robbery,Under15,"3,580"
Stolen Property Offenses,Under15,282
Assault Offenses,Under20,"256,062"
Homicide Offenses,Under20,"2,165"
Human Trafficking Offenses,Under20,637
Kidnapping/Abduction,Under20,"4,128"
Sex Offenses,Under20,"32,948"
Arson,Under20,682
Bribery,Under20,68
Burglary/Breaking & Entering,Under20,"19,470"
Counterfeiting/Forgery,Under20,"1,451"
Destruction/Damage/Vandalism ,Under20,"52,537"
Embezzlement,Under20,125
Extortion/Blackmail,Under20,"3,236"
Fraud Offenses,Under20,"25,093"
Larceny/Theft Offenses,Under20,"114,153"
Motor Vehicle Theft,Under20,"17,466"
Robbery,Under20,"16,183"
Stolen Property Offenses,Under20,"3,414"
Assault Offenses,Under25,"351,830"
Homicide Offenses,Under25,"2,443"
Human Trafficking Offenses,Under25,227
Kidnapping/Abduction,Under25,"5,306"
Sex Offenses,Under25,"15,230"
Arson,Under25,"1,399"
Bribery,Under25,83
Burglary/Breaking & Entering,Under25,"48,303"
Counterfeiting/Forgery,Under25,"2,613"
Destruction/Damage/Vandalism ,Under25,"115,237"
Embezzlement,Under25,349
Extortion/Blackmail,Under25,"2,096"
Fraud Offenses,Under25,"49,026"
Larceny/Theft Offenses,Under25,"249,039"
Motor Vehicle Theft,Under25,"53,544"
Robbery,Under25,"20,963"
Stolen Property Offenses,Under25,"7,367"
Assault Offenses,Under30,"374,771"
Homicide Offenses,Under30,"2,417"
