,text,clean text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
9599,"1/2 Unfortunately, the #FBI have been coddling, enabling #USA white supremacists for decades. when reich wing relig… https://t.co/TVbugDvvTe",  Unfortunately the FBI have been coddling enabling USA white supremacists for decades when reich wing relig… ,"['', 'unfortunately', 'the', 'fbi', 'have', 'been', 'coddling', 'enabling', 'usa', 'white', 'supremacists', 'for', 'decades', 'when', 'reich', 'wing', 'relig', '']","['', 'unfortunately', 'fbi', 'coddling', 'enabling', 'usa', 'white', 'supremacists', 'decades', 'reich', 'wing', 'relig', '']","['', 'unfortun', 'fbi', 'coddl', 'enabl', 'usa', 'white', 'supremacist', 'decad', 'reich', 'wing', 'relig', '']","['', 'unfortunately', 'fbi', 'coddling', 'enabling', 'usa', 'white', 'supremacist', 'decade', 'reich', 'wing', 'relig', '']"
9600,"@RepStefanik Answers? Are you drunk? We have answers. The #FBI executed a legal search warrant to recover stolen, t… https://t.co/iL3SwXTFyI",RepStefanik Answers Are you drunk We have answers The FBI executed a legal search warrant to recover stolen t…  SwXTFyI,"['repstefanik', 'answers', 'are', 'you', 'drunk', 'we', 'have', 'answers', 'the', 'fbi', 'executed', 'a', 'legal', 'search', 'warrant', 'to', 'recover', 'stolen', 't', 'swxtfyi']","['repstefanik', 'answers', 'drunk', 'answers', 'fbi', 'executed', 'legal', 'search', 'warrant', 'recover', 'stolen', 'swxtfyi']","['repstefanik', 'answer', 'drunk', 'answer', 'fbi', 'execut', 'legal', 'search', 'warrant', 'recov', 'stolen', 'swxtfyi']","['repstefanik', 'answer', 'drunk', 'answer', 'fbi', 'executed', 'legal', 'search', 'warrant', 'recover', 'stolen', 'swxtfyi']"
9604,"̔Don't be stupid. A Funny Digital Design. 🙌

👉https://t.co/MgVQzx4NiQ

#bronzeplateau #forestpark #chilltent #fbi… https://t.co/L4idlxDqUz","̔Dont be stupid A Funny Digital Design 🙌

👉 NiQ

bronzeplateau forestpark chilltent fbi…  idlxDqUz","['', 'dont', 'be', 'stupid', 'a', 'funny', 'digital', 'design', 'niq', 'bronzeplateau', 'forestpark', 'chilltent', 'fbi', 'idlxdquz']","['', 'dont', 'stupid', 'funny', 'digital', 'design', 'niq', 'bronzeplateau', 'forestpark', 'chilltent', 'fbi', 'idlxdquz']","['', 'dont', 'stupid', 'funni', 'digit', 'design', 'niq', 'bronzeplateau', 'forestpark', 'chilltent', 'fbi', 'idlxdquz']","['', 'dont', 'stupid', 'funny', 'digital', 'design', 'niq', 'bronzeplateau', 'forestpark', 'chilltent', 'fbi', 'idlxdquz']"
9606,"📣 New Podcast! ""NEW: How Othram Uses Forensic Genetic Genealogy to Solve Cases"" on @Spreaker #billthomas… https://t.co/nI6CkZx4G6",📣 New Podcast NEW How Othram Uses Forensic Genetic Genealogy to Solve Cases on Spreaker billthomas…  CkZx G ,"['', 'new', 'podcast', 'new', 'how', 'othram', 'uses', 'forensic', 'genetic', 'genealogy', 'to', 'solve', 'cases', 'on', 'spreaker', 'billthomas', 'ckzx', 'g', '']","['', 'new', 'podcast', 'new', 'othram', 'uses', 'forensic', 'genetic', 'genealogy', 'solve', 'cases', 'spreaker', 'billthomas', 'ckzx', 'g', '']","['', 'new', 'podcast', 'new', 'othram', 'use', 'forens', 'genet', 'genealog', 'solv', 'case', 'spreaker', 'billthoma', 'ckzx', 'g', '']","['', 'new', 'podcast', 'new', 'othram', 'us', 'forensic', 'genetic', 'genealogy', 'solve', 'case', 'spreaker', 'billthomas', 'ckzx', 'g', '']"
9610,@56blackcat Chris WRAY corrupted the #FBI are they all #FederalistMembers🆘, blackcat Chris WRAY corrupted the FBI are they all FederalistMembers🆘,"['', 'blackcat', 'chris', 'wray', 'corrupted', 'the', 'fbi', 'are', 'they', 'all', 'federalistmembers', '']","['', 'blackcat', 'chris', 'wray', 'corrupted', 'fbi', 'federalistmembers', '']","['', 'blackcat', 'chri', 'wray', 'corrupt', 'fbi', 'federalistmemb', '']","['', 'blackcat', 'chris', 'wray', 'corrupted', 'fbi', 'federalistmembers', '']"
9616,"“Don’t compare your progress to that of others.
We need our own time to travel our own distance”......… https://t.co/hkTwvpPhn6","“Don’t compare your progress to that of others
We need our own time to travel our own distance”…  ","['', 'don', 't', 'compare', 'your', 'progress', 'to', 'that', 'of', 'others', 'we', 'need', 'our', 'own', 'time', 'to', 'travel', 'our', 'own', 'distance', '']","['', 'compare', 'progress', 'others', 'need', 'time', 'travel', 'distance', '']","['', 'compar', 'progress', 'other', 'need', 'time', 'travel', 'distanc', '']","['', 'compare', 'progress', 'others', 'need', 'time', 'travel', 'distance', '']"
9619,I found declassified #FBI documents on my great great grandfather 😂 Antonius(Anton) Sintich who came from… https://t.co/74yXH0nxPr,I found declassified FBI documents on my great great grandfather 😂 AntoniusAnton Sintich who came from…  yXH nxPr,"['i', 'found', 'declassified', 'fbi', 'documents', 'on', 'my', 'great', 'great', 'grandfather', 'antoniusanton', 'sintich', 'who', 'came', 'from', 'yxh', 'nxpr']","['found', 'declassified', 'fbi', 'documents', 'great', 'great', 'grandfather', 'antoniusanton', 'sintich', 'came', 'yxh', 'nxpr']","['found', 'declassifi', 'fbi', 'document', 'great', 'great', 'grandfath', 'antoniusanton', 'sintich', 'came', 'yxh', 'nxpr']","['found', 'declassified', 'fbi', 'document', 'great', 'great', 'grandfather', 'antoniusanton', 'sintich', 'came', 'yxh', 'nxpr']"
9620,"@RepJeffries It is time to ... #VoteBlueFroSoManyReasons!
#Republicans, if given the opportunity, will defund the… https://t.co/a3f0Gz8eiu","RepJeffries It is time to  VoteBlueFroSoManyReasons
Republicans if given the opportunity will defund the…  f Gz eiu","['repjeffries', 'it', 'is', 'time', 'to', 'votebluefrosomanyreasons', 'republicans', 'if', 'given', 'the', 'opportunity', 'will', 'defund', 'the', 'f', 'gz', 'eiu']","['repjeffries', 'time', 'votebluefrosomanyreasons', 'republicans', 'given', 'opportunity', 'defund', 'f', 'gz', 'eiu']","['repjeffri', 'time', 'votebluefrosomanyreason', 'republican', 'given', 'opportun', 'defund', 'f', 'gz', 'eiu']","['repjeffries', 'time', 'votebluefrosomanyreasons', 'republican', 'given', 'opportunity', 'defund', 'f', 'gz', 'eiu']"
9621,"@TulsiGabbard Hey #FBI, #Russian spy #TulsiGabbard spreading Russian Disinformation in the US. Time to take action!

@JusticeOIG","TulsiGabbard Hey FBI Russian spy TulsiGabbard spreading Russian Disinformation in the US Time to take action

JusticeOIG","['tulsigabbard', 'hey', 'fbi', 'russian', 'spy', 'tulsigabbard', 'spreading', 'russian', 'disinformation', 'in', 'the', 'us', 'time', 'to', 'take', 'action', 'justiceoig']","['tulsigabbard', 'hey', 'fbi', 'russian', 'spy', 'tulsigabbard', 'spreading', 'russian', 'disinformation', 'us', 'time', 'take', 'action', 'justiceoig']","['tulsigabbard', 'hey', 'fbi', 'russian', 'spi', 'tulsigabbard', 'spread', 'russian', 'disinform', 'us', 'time', 'take', 'action', 'justiceoig']","['tulsigabbard', 'hey', 'fbi', 'russian', 'spy', 'tulsigabbard', 'spreading', 'russian', 'disinformation', 'u', 'time', 'take', 'action', 'justiceoig']"
9624,@lmpd @FBILouisville @FBI @WLKY @wave3news @WDRBNews @WHAS11 @840WHAS it has been 20 years. Reopen her case.… https://t.co/VjSgkNJBxk,lmpd FBILouisville FBI WLKY wave news WDRBNews WHAS   WHAS it has been   years Reopen her case… ,"['lmpd', 'fbilouisville', 'fbi', 'wlky', 'wave', 'news', 'wdrbnews', 'whas', 'whas', 'it', 'has', 'been', 'years', 'reopen', 'her', 'case', '']","['lmpd', 'fbilouisville', 'fbi', 'wlky', 'wave', 'news', 'wdrbnews', 'whas', 'whas', 'years', 'reopen', 'case', '']","['lmpd', 'fbilouisvil', 'fbi', 'wlki', 'wave', 'news', 'wdrbnew', 'wha', 'wha', 'year', 'reopen', 'case', '']","['lmpd', 'fbilouisville', 'fbi', 'wlky', 'wave', 'news', 'wdrbnews', 'whas', 'whas', 'year', 'reopen', 'case', '']"
