"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1352","RT @EpochTimes: “Before our very eyes, Biden and his left-wing handlers are turning America into a police state,” said Trump.

Former Presi…",FALSE,0,NA,2022-10-09 20:20:27,FALSE,NA,"1579205171090903041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kimrocd",85,TRUE,FALSE,NA,NA
"1353","This is what computer hackers look like in #Chesapeake. These people harass me 365 days a year. They have cameras l… https://t.co/1Gb1vHlqtQ",FALSE,0,NA,2022-10-09 20:20:01,TRUE,NA,"1579205059346575364",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","dangervacities",0,FALSE,FALSE,NA,NA
"1354","RT @FBIAlbuquerque: The #FBI is offering a reward of up to $10k for info leading to the arrest/conviction of the person(s) responsible for…",FALSE,0,NA,2022-10-09 20:19:56,FALSE,NA,"1579205041046503426",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crazyfromlsd",7,TRUE,FALSE,NA,NA
"1355","RT @venusheard172: OK🤌🏽🗣️👀🤚🏽
First of all, why is he mad if it's not the truth and he has something to hide?
Second, why is he threatening…",FALSE,0,NA,2022-10-09 20:19:29,FALSE,NA,"1579204925187588097",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","venusheard172",1,TRUE,FALSE,NA,NA
"1356","OK🤌🏽🗣️👀🤚🏽
First of all, why is he mad if it's not the truth and he has something to hide?
Second, why is he threate… https://t.co/YR8nawH4Vs",FALSE,1,NA,2022-10-09 20:19:15,TRUE,NA,"1579204870363525121",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","venusheard172",1,FALSE,FALSE,NA,NA
"1357","RT @Judemania: When everyone else is focused on the #vikings_oficial and you’re in #halloween mode #fashionshow #halloweencostume #calum #h…",FALSE,0,NA,2022-10-09 20:18:40,FALSE,NA,"1579204719670882304",NA,"<a href=""https://bestbuy.a777.com/"" rel=""nofollow"">Media uploads app</a>","buy1_best",1,TRUE,FALSE,NA,NA
"1358","#FBI &gt; ""Hundreds of Agents Have Resigned to Escape Sexual Misconduct Allegations""
https://t.co/0Y49Las3aR",FALSE,3,NA,2022-10-09 20:17:00,FALSE,NA,"1579204301179785217",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GloryBound_info",2,FALSE,FALSE,NA,NA
"1359","RT @RestlessNews: @fab4screamie @agavecorn @PalmerReport @IAmPoliticsGirl @DonnaJo1002 @co_rapunzel4 @agavecorn @SharesTruth @DonnaJo1002 #…",FALSE,0,NA,2022-10-09 20:16:34,FALSE,NA,"1579204192132288513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SharesTruth",7,TRUE,FALSE,NA,NA
"1360","RT @BluJayK: #FBI Informant Does Huge Damage to #ProudBoys 💙
Proud Boys founder scrambling to salvage 'bitterly divided' group after new re…",FALSE,0,NA,2022-10-09 20:13:34,FALSE,NA,"1579203437735968769",NA,"<a href=""https://www.politico.com"" rel=""nofollow"">Retweet Breaking news</a>","undecidedname4",2,TRUE,FALSE,NA,NA
"1361","RT @Robert4787: U.S. #cybersecurity and intelligence agencies say multiple nation-state #hacking groups targeted a #Defense Industrial Base…",FALSE,0,NA,2022-10-09 20:13:14,FALSE,NA,"1579203354152292352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","minna_christa",5,TRUE,FALSE,NA,NA
"1362","#FBI Informant Does Huge Damage to #ProudBoys 💙
Proud Boys founder scrambling to salvage 'bitterly divided' group a… https://t.co/xyp7sdBApl",FALSE,0,NA,2022-10-09 20:10:34,TRUE,NA,"1579202684670070784",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BluJayK",2,FALSE,FALSE,NA,NA
